#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
SteCoeF_020.g394.t1  -          CaMKII_AD            PF08332.17       4.7    8.2   0.0       9.8    7.2   0.0   1.5   1   0   0   1   1   1   0 -
SteCoeF_088.g48.t1   -          CaMKII_AD            PF08332.17         5    8.1   0.0   1.2e+02    3.6   0.0   2.1   1   1   1   2   2   2   0 -
SteCoeF_033.g666.t1  -          CaMKII_AD            PF08332.17         5    8.1   0.0       9.2    7.3   0.0   1.4   1   0   0   1   1   1   0 -
SteCoeF_070.g55.t1   -          CaMKII_AD            PF08332.17       5.9    7.9   0.1       7.6    7.5   0.1   1.2   1   0   0   1   1   1   0 -
SteCoeF_061.g292.t1  -          CaMKII_AD            PF08332.17       6.1    7.8   0.1        17    6.4   0.1   1.7   1   0   0   1   1   1   0 -
SteCoeF_034.g1077.t1 -          CaMKII_AD            PF08332.17       6.3    7.8   0.0        13    6.8   0.0   1.5   1   0   0   1   1   1   0 -
SteCoeF_036.g418.t1  -          CaMKII_AD            PF08332.17       6.5    7.7   0.0        85    4.1   0.0   2.7   2   0   0   2   2   2   0 -
SteCoeF_027.g34.t1   -          CaMKII_AD            PF08332.17       6.5    7.7   0.0        17    6.4   0.0   1.7   1   0   0   1   1   1   0 -
SteCoeF_051.g332.t1  -          CaMKII_AD            PF08332.17       7.1    7.6   0.0        39    5.2   0.0   2.3   1   0   0   1   1   1   0 -
SteCoeF_072.g645.t1  -          CaMKII_AD            PF08332.17       7.7    7.5   2.0     9e+02    0.8   0.0   4.9   7   1   0   7   7   7   0 -
SteCoeF_030.g909.t1  -          CaMKII_AD            PF08332.17       7.8    7.5   0.1        29    5.6   0.1   2.0   2   0   0   2   2   2   0 -
SteCoeF_033.g593.t1  -          CaMKII_AD            PF08332.17       8.1    7.4   0.1        25    5.8   0.0   1.8   2   0   0   2   2   2   0 -
SteCoeF_049.g1170.t1 -          CaMKII_AD            PF08332.17       8.4    7.4   0.1        25    5.8   0.0   1.8   2   0   0   2   2   2   0 -
SteCoeF_078.g449.t1  -          CaMKII_AD            PF08332.17       9.1    7.3   0.4        11    7.0   0.4   1.2   1   0   0   1   1   1   0 -
SteCoeF_071.g259.t1  -          CaMKII_AD            PF08332.17       9.5    7.2   2.3        17    6.4   0.2   2.3   1   1   2   3   3   3   0 -
SteCoeF_051.g405.t1  -          CaMKII_AD            PF08332.17        10    7.1   0.1        24    5.9   0.1   1.6   1   0   0   1   1   1   0 -
SteCoeF_082.g43.t1   -          CaMKII_AD            PF08332.17        11    7.0   0.0        18    6.3   0.0   1.4   1   0   0   1   1   1   0 -
SteCoeF_033.g626.t1  -          CaMKII_AD            PF08332.17        11    7.0   0.1        37    5.3   0.1   1.9   1   1   1   2   2   2   0 -
SteCoeF_006.g901.t1  -          CaMKII_AD            PF08332.17        11    7.0   0.0        13    6.8   0.0   1.1   1   0   0   1   1   1   0 -
SteCoeF_053.g832.t1  -          CaMKII_AD            PF08332.17        11    7.0   0.1        22    6.0   0.1   1.6   1   0   0   1   1   1   0 -
SteCoeF_099.g1112.t1 -          CaMKII_AD            PF08332.17        11    7.0   6.8   4.1e+02    1.9   0.0   6.5   9   2   0  10  10  10   0 -
SteCoeF_071.g314.t1  -          CaMKII_AD            PF08332.17        11    7.0   0.3        25    5.8   0.3   1.7   1   0   0   1   1   1   0 -
SteCoeF_001.g3.t1    -          CaMKII_AD            PF08332.17        11    7.0   0.1        18    6.3   0.1   1.4   1   1   0   1   1   1   0 -
SteCoeF_067.g615.t1  -          CaMKII_AD            PF08332.17        11    6.9   0.5        21    6.1   0.1   1.6   2   0   0   2   2   2   0 -
SteCoeF_121.g819.t1  -          CaMKII_AD            PF08332.17        11    6.9   0.1   1.3e+03    0.3   0.0   3.3   4   0   0   4   4   4   0 -
SteCoeF_088.g29.t1   -          CaMKII_AD            PF08332.17        13    6.8   0.0   4.3e+02    1.9   0.0   3.2   2   1   0   2   2   2   0 -
SteCoeF_019.g36.t1   -          CaMKII_AD            PF08332.17        13    6.8   0.1        17    6.4   0.1   1.2   1   0   0   1   1   1   0 -
SteCoeF_106.g890.t1  -          CaMKII_AD            PF08332.17        13    6.8   0.1        20    6.2   0.1   1.4   1   1   0   1   1   1   0 -
SteCoeF_086.g852.t1  -          CaMKII_AD            PF08332.17        13    6.8   0.0        30    5.6   0.0   1.6   1   0   0   1   1   1   0 -
SteCoeF_044.g1147.t1 -          CaMKII_AD            PF08332.17        13    6.8   0.0        30    5.6   0.0   1.6   1   0   0   1   1   1   0 -
SteCoeF_136.g493.t1  -          CaMKII_AD            PF08332.17        13    6.8   0.1        48    4.9   0.0   1.9   2   1   0   2   2   2   0 -
SteCoeF_117.g269.t1  -          CaMKII_AD            PF08332.17        13    6.8   0.9   2.5e+03   -0.6   0.0   4.7   6   1   1   7   7   7   0 -
SteCoeF_021.g582.t1  -          CaMKII_AD            PF08332.17        13    6.8   3.1   1.3e+02    3.5   0.0   3.7   4   0   0   4   4   4   0 -
SteCoeF_030.g816.t1  -          CaMKII_AD            PF08332.17        13    6.7   0.4        99    3.9   0.0   2.4   2   2   1   3   3   3   0 -
SteCoeF_066.g303.t1  -          CaMKII_AD            PF08332.17        14    6.7   0.0        16    6.5   0.0   1.2   1   0   0   1   1   1   0 -
SteCoeF_082.g2.t1    -          CaMKII_AD            PF08332.17        14    6.7   0.0        29    5.6   0.0   1.5   1   0   0   1   1   1   0 -
SteCoeF_041.g467.t1  -          CaMKII_AD            PF08332.17        14    6.6   0.0        23    6.0   0.0   1.4   1   0   0   1   1   1   0 -
SteCoeF_001.g198.t1  -          CaMKII_AD            PF08332.17        14    6.6   0.3        31    5.5   0.3   1.6   1   0   0   1   1   1   0 -
SteCoeF_001.g74.t1   -          CaMKII_AD            PF08332.17        15    6.6   0.0        30    5.6   0.0   1.5   1   0   0   1   1   1   0 -
SteCoeF_065.g51.t1   -          CaMKII_AD            PF08332.17        15    6.6   0.0        35    5.4   0.0   1.5   1   0   0   1   1   1   0 -
SteCoeF_054.g1138.t1 -          CaMKII_AD            PF08332.17        15    6.5   0.2        70    4.4   0.1   2.0   2   0   0   2   2   2   0 -
SteCoeF_045.g195.t1  -          CaMKII_AD            PF08332.17        15    6.5   0.6   1.1e+02    3.7   0.2   2.6   2   0   0   2   2   2   0 -
SteCoeF_120.g702.t1  -          CaMKII_AD            PF08332.17        16    6.5   0.0        77    4.3   0.0   2.1   2   0   0   2   2   2   0 -
SteCoeF_086.g890.t1  -          CaMKII_AD            PF08332.17        16    6.5   0.0        63    4.6   0.0   2.0   2   0   0   2   2   2   0 -
SteCoeF_045.g31.t1   -          CaMKII_AD            PF08332.17        16    6.5   0.9   2.1e+02    2.9   0.1   2.2   2   0   0   2   2   2   0 -
SteCoeF_137.g550.t1  -          CaMKII_AD            PF08332.17        16    6.4   0.1        34    5.4   0.1   1.5   1   0   0   1   1   1   0 -
SteCoeF_059.g1092.t1 -          CaMKII_AD            PF08332.17        17    6.4   0.1        35    5.4   0.1   1.5   1   0   0   1   1   1   0 -
SteCoeF_014.g997.t1  -          CaMKII_AD            PF08332.17        17    6.4   1.0   5.4e+02    1.5   0.0   2.8   3   0   0   3   3   3   0 -
SteCoeF_078.g508.t1  -          CaMKII_AD            PF08332.17        17    6.4   0.0        66    4.5   0.0   2.0   2   0   0   2   2   2   0 -
SteCoeF_120.g804.t1  -          CaMKII_AD            PF08332.17        18    6.3   0.0        36    5.3   0.0   1.4   1   0   0   1   1   1   0 -
SteCoeF_061.g229.t1  -          CaMKII_AD            PF08332.17        18    6.3   0.1   2.1e+02    2.9   0.0   2.3   2   0   0   2   2   2   0 -
SteCoeF_020.g568.t1  -          CaMKII_AD            PF08332.17        18    6.3   0.0        22    6.1   0.0   1.2   1   0   0   1   1   1   0 -
SteCoeF_076.g124.t1  -          CaMKII_AD            PF08332.17        18    6.3   0.1   2.4e+02    2.7   0.0   2.3   2   0   0   2   2   2   0 -
SteCoeF_080.g805.t1  -          CaMKII_AD            PF08332.17        19    6.3   0.1        45    5.0   0.1   1.7   1   0   0   1   1   1   0 -
SteCoeF_017.g770.t1  -          CaMKII_AD            PF08332.17        19    6.3   0.2        52    4.8   0.1   1.7   2   0   0   2   2   2   0 -
SteCoeF_075.g1228.t1 -          CaMKII_AD            PF08332.17        19    6.3   2.8   4.4e+02    1.8   0.0   3.9   5   1   0   5   5   5   0 -
SteCoeF_008.g466.t1  -          CaMKII_AD            PF08332.17        19    6.2   0.1        54    4.8   0.1   1.7   1   0   0   1   1   1   0 -
SteCoeF_019.g19.t1   -          CaMKII_AD            PF08332.17        19    6.2   0.0   1.8e+02    3.1   0.0   2.3   2   0   0   2   2   2   0 -
SteCoeF_081.g1216.t1 -          CaMKII_AD            PF08332.17        19    6.2   0.0        43    5.1   0.0   1.5   1   0   0   1   1   1   0 -
SteCoeF_085.g639.t1  -          CaMKII_AD            PF08332.17        19    6.2   0.1        27    5.8   0.1   1.3   1   0   0   1   1   1   0 -
SteCoeF_090.g531.t1  -          CaMKII_AD            PF08332.17        20    6.2   0.2   3.3e+02    2.2   0.0   2.3   2   1   1   3   3   3   0 -
SteCoeF_036.g356.t1  -          CaMKII_AD            PF08332.17        20    6.1   0.3   3.6e+02    2.1   0.2   2.2   1   1   0   2   2   2   0 -
SteCoeF_040.g76.t1   -          CaMKII_AD            PF08332.17        21    6.1   0.1        44    5.0   0.0   1.6   2   0   0   2   2   2   0 -
SteCoeF_016.g396.t1  -          CaMKII_AD            PF08332.17        21    6.1   0.0        32    5.5   0.0   1.3   1   0   0   1   1   1   0 -
SteCoeF_101.g151.t1  -          CaMKII_AD            PF08332.17        21    6.1   0.5   2.6e+02    2.6   0.0   2.5   3   0   0   3   3   3   0 -
SteCoeF_039.g1283.t1 -          CaMKII_AD            PF08332.17        21    6.1   0.0        45    5.0   0.0   1.5   2   0   0   2   2   2   0 -
SteCoeF_061.g335.t1  -          CaMKII_AD            PF08332.17        22    6.0   0.0        49    4.9   0.0   1.6   1   0   0   1   1   1   0 -
SteCoeF_084.g558.t1  -          CaMKII_AD            PF08332.17        22    6.0   0.5   1.1e+02    3.8   0.2   2.2   2   0   0   2   2   2   0 -
SteCoeF_095.g285.t1  -          CaMKII_AD            PF08332.17        22    6.0   0.2   1.9e+02    3.0   0.1   2.1   2   0   0   2   2   2   0 -
SteCoeF_097.g662.t1  -          CaMKII_AD            PF08332.17        23    5.9   0.0        43    5.1   0.0   1.5   1   1   0   1   1   1   0 -
SteCoeF_097.g663.t1  -          CaMKII_AD            PF08332.17        23    5.9   0.1        59    4.7   0.1   1.7   1   0   0   1   1   1   0 -
SteCoeF_088.g122.t1  -          CaMKII_AD            PF08332.17        23    5.9   0.0        43    5.1   0.0   1.4   1   0   0   1   1   1   0 -
SteCoeF_094.g125.t1  -          CaMKII_AD            PF08332.17        24    5.9   0.2        58    4.7   0.1   1.7   1   1   0   1   1   1   0 -
SteCoeF_129.g831.t1  -          CaMKII_AD            PF08332.17        24    5.9   0.0        54    4.8   0.0   1.5   1   0   0   1   1   1   0 -
SteCoeF_053.g858.t1  -          CaMKII_AD            PF08332.17        24    5.9   0.0   8.3e+02    0.9   0.1   2.9   3   0   0   3   3   3   0 -
SteCoeF_059.g1147.t1 -          CaMKII_AD            PF08332.17        24    5.9   0.0   1.4e+02    3.4   0.0   1.9   1   1   1   2   2   2   0 -
SteCoeF_088.g2.t1    -          CaMKII_AD            PF08332.17        25    5.8   5.2     1e+03    0.6   0.0   5.6   9   0   0   9   9   9   0 -
SteCoeF_087.g1022.t1 -          CaMKII_AD            PF08332.17        25    5.8   0.1        39    5.2   0.1   1.3   1   0   0   1   1   1   0 -
SteCoeF_105.g780.t1  -          CaMKII_AD            PF08332.17        26    5.8   0.2        75    4.3   0.2   1.8   1   1   0   1   1   1   0 -
SteCoeF_120.g756.t1  -          CaMKII_AD            PF08332.17        26    5.8   0.0        83    4.2   0.0   1.8   1   0   0   1   1   1   0 -
SteCoeF_045.g80.t1   -          CaMKII_AD            PF08332.17        26    5.8   0.9        58    4.7   0.1   1.9   2   1   0   2   2   2   0 -
SteCoeF_034.g862.t1  -          CaMKII_AD            PF08332.17        26    5.8   0.4   3.5e+02    2.2   0.1   2.5   2   1   1   3   3   3   0 -
SteCoeF_074.g894.t1  -          CaMKII_AD            PF08332.17        26    5.8   2.1   5.3e+02    1.6   0.1   3.4   4   0   0   4   4   4   0 -
SteCoeF_032.g275.t1  -          CaMKII_AD            PF08332.17        26    5.8   0.1        52    4.8   0.1   1.5   1   0   0   1   1   1   0 -
SteCoeF_091.g584.t1  -          CaMKII_AD            PF08332.17        26    5.8   0.0        61    4.6   0.0   1.6   1   0   0   1   1   1   0 -
SteCoeF_046.g324.t1  -          CaMKII_AD            PF08332.17        27    5.8   0.9        78    4.3   0.3   1.8   2   0   0   2   2   2   0 -
SteCoeF_124.g254.t1  -          CaMKII_AD            PF08332.17        27    5.7   3.7        25    5.8   0.3   2.8   3   0   0   3   3   3   0 -
SteCoeF_034.g860.t1  -          CaMKII_AD            PF08332.17        27    5.7   0.2        76    4.3   0.1   1.8   2   0   0   2   2   2   0 -
SteCoeF_111.g634.t1  -          CaMKII_AD            PF08332.17        27    5.7   0.0        30    5.6   0.0   1.1   1   0   0   1   1   1   0 -
SteCoeF_026.g1041.t1 -          CaMKII_AD            PF08332.17        27    5.7   0.0        68    4.4   0.0   1.6   1   0   0   1   1   1   0 -
SteCoeF_015.g104.t1  -          CaMKII_AD            PF08332.17        27    5.7   0.0        58    4.7   0.0   1.5   1   0   0   1   1   1   0 -
SteCoeF_052.g691.t1  -          CaMKII_AD            PF08332.17        27    5.7   1.1        52    4.8   0.5   1.8   2   0   0   2   2   2   0 -
SteCoeF_105.g693.t1  -          CaMKII_AD            PF08332.17        28    5.7   0.4   1.1e+02    3.7   0.4   2.1   1   0   0   1   1   1   0 -
SteCoeF_178.g220.t1  -          CaMKII_AD            PF08332.17        28    5.7   1.7   1.5e+02    3.4   0.1   2.6   3   0   0   3   3   3   0 -
SteCoeF_087.g1047.t1 -          CaMKII_AD            PF08332.17        28    5.7   0.1        46    5.0   0.1   1.3   1   0   0   1   1   1   0 -
SteCoeF_047.g608.t1  -          CaMKII_AD            PF08332.17        29    5.7   0.1   2.1e+02    2.9   0.0   2.3   2   0   0   2   2   2   0 -
SteCoeF_022.g989.t1  -          CaMKII_AD            PF08332.17        29    5.7   0.0        53    4.8   0.0   1.5   1   0   0   1   1   1   0 -
SteCoeF_164.g978.t1  -          CaMKII_AD            PF08332.17        29    5.6   0.0   3.4e+02    2.2   0.0   2.1   2   0   0   2   2   2   0 -
SteCoeF_030.g946.t1  -          CaMKII_AD            PF08332.17        29    5.6   0.0        69    4.4   0.0   1.6   1   0   0   1   1   1   0 -
SteCoeF_020.g435.t1  -          CaMKII_AD            PF08332.17        29    5.6   0.3   1.3e+02    3.5   0.1   2.2   2   1   0   2   2   2   0 -
SteCoeF_137.g604.t1  -          CaMKII_AD            PF08332.17        29    5.6   0.0        93    4.0   0.0   1.9   1   0   0   1   1   1   0 -
SteCoeF_099.g1098.t1 -          CaMKII_AD            PF08332.17        30    5.6   0.0        49    4.9   0.0   1.4   1   1   0   1   1   1   0 -
SteCoeF_085.g605.t1  -          CaMKII_AD            PF08332.17        31    5.6   0.4        50    4.9   0.1   1.5   2   0   0   2   2   2   0 -
SteCoeF_168.g3.t1    -          CaMKII_AD            PF08332.17        31    5.5   0.1        38    5.3   0.1   1.2   1   0   0   1   1   1   0 -
SteCoeF_073.g800.t1  -          CaMKII_AD            PF08332.17        31    5.5   0.0        34    5.4   0.0   1.2   1   0   0   1   1   1   0 -
SteCoeF_084.g603.t1  -          CaMKII_AD            PF08332.17        31    5.5   1.9   1.9e+03   -0.2   0.0   4.4   7   0   0   7   7   7   0 -
SteCoeF_084.g481.t1  -          CaMKII_AD            PF08332.17        31    5.5   0.0        71    4.4   0.0   1.6   1   0   0   1   1   1   0 -
SteCoeF_088.g46.t1   -          CaMKII_AD            PF08332.17        32    5.5   3.1   1.2e+03    0.4   0.0   4.6   6   1   0   6   6   6   0 -
SteCoeF_088.g43.t1   -          CaMKII_AD            PF08332.17        32    5.5   0.1   3.1e+02    2.3   0.0   2.4   2   1   0   3   3   3   0 -
SteCoeF_111.g608.t1  -          CaMKII_AD            PF08332.17        32    5.5   1.1   4.8e+02    1.7   0.3   3.0   1   1   2   3   3   3   0 -
SteCoeF_098.g800.t1  -          CaMKII_AD            PF08332.17        32    5.5   0.0        88    4.1   0.0   1.7   1   0   0   1   1   1   0 -
SteCoeF_042.g717.t1  -          CaMKII_AD            PF08332.17        33    5.5   0.0        56    4.7   0.0   1.4   1   0   0   1   1   1   0 -
SteCoeF_035.g59.t1   -          CaMKII_AD            PF08332.17        33    5.4   0.1   1.1e+02    3.8   0.1   1.9   1   0   0   1   1   1   0 -
SteCoeF_162.g876.t1  -          CaMKII_AD            PF08332.17        34    5.4   0.3     1e+02    3.9   0.2   1.8   1   1   0   1   1   1   0 -
SteCoeF_088.g98.t1   -          CaMKII_AD            PF08332.17        34    5.4   0.0        50    4.9   0.0   1.3   1   0   0   1   1   1   0 -
SteCoeF_039.g1224.t1 -          CaMKII_AD            PF08332.17        34    5.4   0.0        88    4.1   0.0   1.7   1   0   0   1   1   1   0 -
SteCoeF_097.g589.t1  -          CaMKII_AD            PF08332.17        34    5.4   0.0   1.1e+02    3.8   0.0   1.8   1   0   0   1   1   1   0 -
SteCoeF_142.g1000.t1 -          CaMKII_AD            PF08332.17        34    5.4   0.0   1.4e+02    3.5   0.0   2.0   2   0   0   2   2   2   0 -
SteCoeF_084.g602.t1  -          CaMKII_AD            PF08332.17        34    5.4   0.2   1.6e+03   -0.0   0.0   2.9   4   0   0   4   4   4   0 -
SteCoeF_026.g875.t1  -          CaMKII_AD            PF08332.17        34    5.4   0.1   3.4e+02    2.2   0.0   2.4   2   0   0   2   2   2   0 -
SteCoeF_002.g644.t1  -          CaMKII_AD            PF08332.17        34    5.4   0.0        50    4.9   0.0   1.3   1   0   0   1   1   1   0 -
SteCoeF_030.g1002.t1 -          CaMKII_AD            PF08332.17        35    5.4   0.0        81    4.2   0.1   1.6   1   1   1   2   2   2   0 -
SteCoeF_072.g577.t1  -          CaMKII_AD            PF08332.17        35    5.4   0.0        41    5.1   0.0   1.2   1   0   0   1   1   1   0 -
SteCoeF_030.g836.t1  -          CaMKII_AD            PF08332.17        35    5.4   0.0        70    4.4   0.0   1.5   1   0   0   1   1   1   0 -
SteCoeF_049.g1065.t1 -          CaMKII_AD            PF08332.17        35    5.4   0.1        36    5.3   0.1   1.1   1   0   0   1   1   1   0 -
SteCoeF_106.g912.t1  -          CaMKII_AD            PF08332.17        36    5.3   0.1   1.3e+02    3.5   0.0   1.9   1   1   0   1   1   1   0 -
SteCoeF_105.g802.t1  -          CaMKII_AD            PF08332.17        37    5.3   0.2   1.2e+02    3.7   0.2   1.9   1   1   0   1   1   1   0 -
SteCoeF_034.g967.t1  -          CaMKII_AD            PF08332.17        37    5.3   2.6   7.7e+02    1.0   0.0   4.2   5   1   1   6   6   6   0 -
SteCoeF_014.g1146.t1 -          CaMKII_AD            PF08332.17        37    5.3   0.1   1.7e+02    3.2   0.0   1.8   2   0   0   2   2   2   0 -
SteCoeF_039.g1257.t1 -          CaMKII_AD            PF08332.17        37    5.3   0.2        76    4.3   0.2   1.6   1   0   0   1   1   1   0 -
SteCoeF_005.g449.t1  -          CaMKII_AD            PF08332.17        37    5.3   0.3   1.5e+02    3.3   0.1   2.1   2   0   0   2   2   2   0 -
SteCoeF_082.g116.t1  -          CaMKII_AD            PF08332.17        37    5.3   0.0        74    4.3   0.0   1.4   1   0   0   1   1   1   0 -
SteCoeF_061.g371.t1  -          CaMKII_AD            PF08332.17        38    5.3   0.5   2.6e+02    2.6   0.1   2.4   2   1   0   2   2   2   0 -
SteCoeF_147.g151.t1  -          CaMKII_AD            PF08332.17        38    5.3   0.1        96    4.0   0.0   1.7   2   0   0   2   2   2   0 -
SteCoeF_031.g157.t1  -          CaMKII_AD            PF08332.17        38    5.3   0.1   1.3e+02    3.5   0.1   1.9   2   0   0   2   2   2   0 -
SteCoeF_070.g59.t1   -          CaMKII_AD            PF08332.17        38    5.2   0.0        76    4.3   0.0   1.4   1   0   0   1   1   1   0 -
SteCoeF_016.g558.t1  -          CaMKII_AD            PF08332.17        38    5.2   0.0        95    4.0   0.0   1.6   2   0   0   2   2   2   0 -
SteCoeF_103.g380.t1  -          CaMKII_AD            PF08332.17        38    5.2   0.1   2.8e+02    2.5   0.0   2.1   2   0   0   2   2   2   0 -
SteCoeF_007.g198.t1  -          CaMKII_AD            PF08332.17        39    5.2   0.1   1.4e+02    3.4   0.0   2.0   2   0   0   2   2   2   0 -
SteCoeF_124.g243.t1  -          CaMKII_AD            PF08332.17        39    5.2   0.1        92    4.0   0.1   1.6   1   0   0   1   1   1   0 -
SteCoeF_077.g390.t1  -          CaMKII_AD            PF08332.17        40    5.2   0.2   7.5e+02    1.1   0.0   2.7   2   0   0   2   2   2   0 -
SteCoeF_115.g53.t1   -          CaMKII_AD            PF08332.17        40    5.2   0.6   3.5e+02    2.2   0.1   2.4   2   0   0   2   2   2   0 -
SteCoeF_132.g44.t1   -          CaMKII_AD            PF08332.17        40    5.2   0.0   1.8e+02    3.1   0.0   2.1   1   0   0   1   1   1   0 -
SteCoeF_016.g348.t1  -          CaMKII_AD            PF08332.17        40    5.2   0.1        96    4.0   0.1   1.6   1   0   0   1   1   1   0 -
SteCoeF_127.g616.t1  -          CaMKII_AD            PF08332.17        41    5.1   0.1   1.6e+02    3.3   0.0   2.0   1   1   1   2   2   2   0 -
SteCoeF_116.g262.t1  -          CaMKII_AD            PF08332.17        42    5.1   0.5   4.1e+02    1.9   0.1   2.8   2   0   0   2   2   2   0 -
SteCoeF_059.g1112.t1 -          CaMKII_AD            PF08332.17        42    5.1   0.1   1.3e+02    3.6   0.1   1.8   1   0   0   1   1   1   0 -
SteCoeF_110.g405.t1  -          CaMKII_AD            PF08332.17        44    5.1   0.2     3e+02    2.4   0.0   2.2   2   0   0   2   2   2   0 -
SteCoeF_015.g109.t1  -          CaMKII_AD            PF08332.17        44    5.0   0.0   1.4e+02    3.4   0.0   1.8   1   0   0   1   1   1   0 -
SteCoeF_004.g369.t1  -          CaMKII_AD            PF08332.17        45    5.0   0.5   2.7e+02    2.5   0.0   2.3   2   1   0   3   3   3   0 -
SteCoeF_030.g910.t1  -          CaMKII_AD            PF08332.17        46    5.0   0.4   2.1e+02    2.9   0.1   2.3   3   0   0   3   3   3   0 -
SteCoeF_031.g107.t1  -          CaMKII_AD            PF08332.17        46    5.0   0.0        50    4.9   0.0   1.2   1   0   0   1   1   1   0 -
SteCoeF_081.g1224.t1 -          CaMKII_AD            PF08332.17        46    5.0   5.9   7.4e+02    1.1   0.0   5.6  11   0   0  11  11  11   0 -
SteCoeF_151.g407.t1  -          CaMKII_AD            PF08332.17        46    5.0   0.1   1.4e+02    3.5   0.1   1.8   1   0   0   1   1   1   0 -
SteCoeF_008.g552.t1  -          CaMKII_AD            PF08332.17        47    5.0   0.0        94    4.0   0.0   1.4   1   0   0   1   1   1   0 -
SteCoeF_117.g308.t1  -          CaMKII_AD            PF08332.17        47    5.0   0.0   1.2e+02    3.6   0.0   1.7   1   0   0   1   1   1   0 -
SteCoeF_073.g889.t1  -          CaMKII_AD            PF08332.17        47    5.0   0.0   1.1e+02    3.8   0.0   1.6   1   0   0   1   1   1   0 -
SteCoeF_014.g1111.t1 -          CaMKII_AD            PF08332.17        48    4.9   0.1   1.9e+02    3.0   0.1   2.0   1   0   0   1   1   1   0 -
SteCoeF_012.g311.t1  -          CaMKII_AD            PF08332.17        48    4.9   0.0   1.3e+02    3.5   0.0   1.7   1   0   0   1   1   1   0 -
SteCoeF_073.g809.t1  -          CaMKII_AD            PF08332.17        48    4.9   0.0   1.1e+02    3.8   0.0   1.5   1   1   0   1   1   1   0 -
SteCoeF_115.g81.t1   -          CaMKII_AD            PF08332.17        48    4.9   0.0   5.1e+02    1.6   0.0   2.6   3   0   0   3   3   3   0 -
